support,itemsets,itemset_length
0.019864018,parmesan cheese,1
0.019464071,"turkey, eggs",2
0.019197440341287828,"turkey, mineral water",2
0.019064124783362217,"frozen vegetables, french fries",2
0.019064124783362217,mushroom cream sauce,1
0.019064124783362217,"cake, eggs",2
0.018797494,rice,1
0.018530863,protein bar,1
0.018130915877882948,"cake, spaghetti",2
0.017997600319957337,"chocolate, shrimp",2
0.017864285,"burgers, milk",2
0.017864285,"cake, french fries",2
0.017597654,"green tea, milk",2
0.017597654,"shrimp, milk",2
0.017597654,"chocolate, escalope",2
0.017464338,"green tea, burgers",2
0.017464338,mint,1
0.017464338,"grated cheese, mineral water",2
0.017197707,"chicken, spaghetti",2
0.017064391414478068,"salmon, mineral water",2
0.017064391414478068,"chocolate, burgers",2
0.017064391414478068,"herb & pepper, mineral water",2
0.017064391414478068,"milk, olive oil",2
0.017064391414478068,"escalope, mineral water",2
0.017064391414478068,"ground beef, spaghetti, mineral water",3
0.016931076,"frozen vegetables, ground beef",2
0.01679776,"low fat yogurt, eggs",2
0.016664445,"frozen vegetables, shrimp",2
0.016531129,"grated cheese, spaghetti",2
0.016531129,"pancakes, milk",2
0.016531129,white wine,1
0.016531129,"turkey, spaghetti",2
0.016397814,"green tea, pancakes",2
0.016397814,"escalope, french fries",2
0.016397814,"chocolate, olive oil",2
0.016264498,"herb & pepper, spaghetti",2
0.016131183,"frozen vegetables, tomatoes",2
0.015997866951073192,"ground beef, herb & pepper",2
0.015864551,"chocolate, spaghetti, mineral water",3
0.015864551,"cooking oil, spaghetti",2
0.015731236,pasta,1
0.015731236,"spaghetti, milk, mineral water",3
0.01559792,light cream,1
0.01559792,"spaghetti, frozen smoothie",2
0.015331289,carrots,1
0.015197973603519531,"soup, milk",2
0.015197973603519531,"low fat yogurt, spaghetti",2
0.015064658045593921,"honey, mineral water",2
0.014931342,"chocolate, frozen smoothie",2
0.014798026929742702,"chocolate, low fat yogurt",2
0.014798026929742702,"green tea, ground beef",2
0.014798026929742702,"chicken, milk",2
0.014664711371817091,"chocolate, chicken",2
0.014531395813891481,"french fries, frozen smoothie",2
0.014531395813891481,"ground beef, pancakes",2
0.01439808,"frozen vegetables, green tea",2
0.01439808,"chicken, eggs",2
0.014264764698040262,black tea,1
0.014264764698040262,"frozen smoothie, milk",2
0.014264764698040262,"soup, spaghetti",2
0.014264764698040262,"eggs, spaghetti, mineral water",3
0.014131449140114652,"whole wheat rice, spaghetti",2
0.014131449140114652,"ground beef, olive oil",2
0.014131449140114652,"shrimp, eggs",2
0.014131449140114652,tomato sauce,1
0.014131449140114652,"cake, green tea",2
0.013998133582189041,"chocolate, tomatoes",2
0.013998133582189041,"escalope, spaghetti",2
0.013998133582189041,"chocolate, mineral water, milk",3
0.013998133582189041,"milk, tomatoes",2
0.013864818,"ground beef, french fries",2
0.013598186908412212,"chocolate, cooking oil",2
0.013598186908412212,"cake, chocolate",2
0.013598186908412212,fromage blanc,1
0.013464871350486601,"chocolate, eggs, mineral water",3
0.013464871350486601,"salmon, spaghetti",2
0.013464871350486601,"frozen vegetables, pancakes",2
0.013464871350486601,gums,1
0.013331555792560993,"cake, milk",2
0.013331555792560993,"low fat yogurt, french fries",2
0.013331555792560993,"cookies, french fries",2
0.013331555792560993,"fresh bread, mineral water",2
0.013198240234635382,eggplant,1
0.013198240234635382,"low fat yogurt, milk",2
0.013064924676709772,"eggs, mineral water, milk",3
0.012531662445007332,"eggs, herb & pepper",2
0.012265031329156113,"green tea, tomatoes",2
0.012265031329156113,"eggs, tomatoes",2
0.011998400213304892,"chocolate, whole wheat rice",2
0.011998400213304892,"green tea, cookies",2
0.011998400213304892,"eggs, olive oil",2
0.011998400213304892,"ground beef, burgers",2
0.011998400213304892,melons,1
0.011998400213304892,extra dark chocolate,1
0.011998400213304892,"frozen vegetables, spaghetti, mineral water",3
0.011998400213304892,"french fries, tomatoes",2
0.011865084655379284,"whole wheat rice, milk",2
0.011865084655379284,"honey, spaghetti",2
0.011865084655379284,"green tea, turkey",2
0.011865084655379284,"green tea, chicken",2
0.011865084655379284,"cake, pancakes",2
0.011731769097453673,"eggs, cooking oil",2
0.011731769097453673,"ground beef, tomatoes",2
0.011598453539528063,"chocolate, champagne",2
0.011598453539528063,"mineral water, avocado",2
0.011465137981602452,"green tea, shrimp",2
0.011465137981602452,"ground beef, shrimp",2
0.011465137981602452,"pancakes, spaghetti, mineral water",3
0.011465137981602452,body spray,1
0.011465137981602452,"cooking oil, milk",2
0.011465137981602452,yams,1
0.011465137981602452,"cake, burgers",2
0.011331822423676844,"chocolate, turkey",2
0.011331822423676844,"turkey, milk",2
0.011331822423676844,"frozen vegetables, olive oil",2
0.011331822423676844,"grated cheese, ground beef",2
0.011198506865751233,"green tea, frozen smoothie",2
0.011198506865751233,"shrimp, tomatoes",2
0.011065191307825623,"frozen vegetables, mineral water, milk",3
0.011065191307825623,"escalope, eggs",2
0.011065191307825623,"chicken, french fries",2
0.011065191307825623,"ground beef, mineral water, milk",3
0.011065191307825623,"eggs, frozen smoothie",2
0.010931875749900012,"chocolate, spaghetti, milk",3
0.010931875749900012,"red wine, mineral water",2
0.010931875749900012,magazines,1
0.010931875749900012,"whole wheat rice, eggs",2
0.010931875749900012,"grated cheese, chocolate",2
0.010931875749900012,"chocolate, ground beef, mineral water",3
0.010798560191974404,barbecue sauce,1
0.010798560191974404,"pancakes, olive oil",2
0.010665244634048793,"turkey, burgers",2
0.010665244634048793,"chocolate, salmon",2
0.010665244634048793,"turkey, french fries",2
0.010531929076123183,"shrimp, pancakes",2
0.010531929076123183,cider,1
0.010531929076123183,"whole wheat rice, french fries",2
0.010531929076123183,"burgers, pancakes",2
0.010531929076123183,"frozen vegetables, burgers",2
0.010531929076123183,"chocolate, eggs, spaghetti",3
0.010531929076123183,"cookies, eggs",2
0.010398613518197574,"chocolate, cookies",2
0.010398613518197574,"grated cheese, french fries",2
0.010398613518197574,nonfat milk,1
0.010265297960271964,"cake, frozen vegetables",2
0.010265297960271964,"spaghetti, mineral water, olive oil",3
0.010265297960271964,"red wine, spaghetti",2
0.010265297960271964,"cereals, mineral water",2
0.010131982402346354,"french fries, spaghetti, mineral water",3
0.010131982402346354,"ground beef, eggs, mineral water",3
0.010131982402346354,"chocolate, soup",2
0.010131982402346354,"frozen vegetables, low fat yogurt",2
